# compartments,# leaks,Leak locations,Input,Output,Identifiable,Square,Rank,Singular Locus
4,2,"3,4",3,4,True,True,8/8,-(2*k12^3*k43*k21^2-k23*k32^2*k43*k21^3-4*k12^2*k23*k43*k21^2+2*k12*k23*k32*k43^2*k21-k23*k32*k43*k21^3*k34+3*k12*k23^2*k32*k43*k21^2+2*k12^2*k43^3*k21^2+4*k12^2*k32*k43*k21^2*k34-k23^2*k32^2*k43*k21*k34-2*k12*k04^2*k21^2*(-1+k43)*(k12+k32-k21)+2*k12*k23^3*k32*k21+2*k12*k32*k21^2*k34^2-k23*k32^2*k21^2*k34-2*k23^2*k32^2*k43*k34-k23*k32*k43^2*k21^3-4*k12^2*k32*k43^2*k21^2-k23*k32^2*k43*k21^2+k23*k32*k43*k21^4+2*k12*k23*k32*k21^3-2*k12^3*k21^2*k34+2*k12*k43*k21^3*k34^2+k23^2*k32*k21^3+k23^3*k32^2*k21-k03*(k23*k32*(k23*k32-k21^2*(-1+k43)+k32*k21*(-1+k43))*(k04-k21+k34)-k12*(k32*k21*(-1+k43)*(5*k23-2*k32+4*k43)-4*k21^2*(-1+k43)*(k23+k43)+2*k21^3*(-1+k43)-k23*k32*(k04+k04*k43-4*k23-4*k43+k43*k34+k34))*k21-4*k12^2*(k23-k32+k43)*k21^2*(-1+k43)+2*k12^3*k21^2*(-1+k43))-2*k12*k23*k21^4+2*k12*k23*k43*k21^4+2*k12*k43^2*k21^4-k23^2*k32*k21^2*k34-2*k12*k32*k43*k21^2*k34^2-4*k12*k23*k43^2*k21^3-2*k12^2*k43^2*k21^2+2*k12*k23^2*k21^3-k23^2*k32*k43*k21^3-k12*k23*k32^2*k43*k21^2-2*k12*k23*k32*k43*k21*k34-2*k12*k21^3*k34^2+k23^2*k32^2*k21*k34+k23*k32^2*k21^3-k12*k23^2*k32*k43*k21*k34+k23^2*k32*k43*k21^2*k34-2*k12^3*k23*k43*k21^2+5*k12*k23*k32*k43^2*k21^2-k23*k32*k21^4-2*k12*k32^2*k43^2*k21^2+4*k12*k23^2*k32*k43*k21-2*k12*k23^2*k43*k21^3-2*k12^2*k43*k21^2*k34^2+3*k12^2*k23*k32*k21^2-k23^2*k32^2*k21^2+k23*k32*k21^3*k34-5*k12*k23*k32*k43*k21^2-2*k12*k23*k32*k43^2*k21*k34+2*k23*k32*k43^2*k21^2*k34+2*k12^3*k43*k21^2*k34+2*k12*k32^2*k43*k21^2-3*k12^2*k23*k32*k43*k21^2+2*k12*k32^2*k43*k21^2*k34-k12*k23*k32*k21^2*k34-2*k12*k32^2*k21^2*k34-2*k12*k43*k21^4-k23^3*k32^2*k34+2*k12*k43^2*k21^3-2*k12^2*k23^2*k21^2-2*k12*k32*k43^2*k21^2+4*k12*k23*k43*k21^3+k23^2*k32^2*k43*k21^2+k12*k23*k32*k43*k21^2*k34-2*k12*k23*k32*k43*k21^3+k23*k32^2*k43*k21^2*k34+k23^2*k32^2*k43*k21+2*k12*k03^2*(k23*k32+k12*k21*(-1+k43)-k21^2*(-1+k43)+k32*k21*(-1+k43))*k21+k23*k32^2*k43^2*k21^2+4*k12^2*k32*k43*k21^2-2*k12*k43*k21^4*k34+2*k12^2*k23^2*k43*k21^2+k23*k32*k43*k21^3-((k23*k32*(k23+k43)-k21^2*(-1+k43)*(k23+k32+k43)+k32*k21*(-1+k43)*(k23+k43)+k21^3*(-1+k43))*k23*k32-4*k12^2*(k32-k34)*k21^2*(-1+k43)-k12*(4*k21^2*(-1+k43)*k34-k23*k32*(1+k43)*(k23+k43)-2*k21^3*(-1+k43)+(k23+2*k32-4*k34)*k32*k21*(-1+k43))*k21-2*k12^3*k21^2*(-1+k43))*k04-3*k12*k23^2*k32*k21^2-k12*k23^2*k32*k21*k34+2*k12^3*k23*k21^2+4*k12^2*k23*k43^2*k21^2-2*k12^3*k43^2*k21^2-2*k12*k43^3*k21^3+2*k12*k32*k43^3*k21^2+2*k12*k21^4*k34-2*k23*k32^2*k43^2*k21*k34+2*k12^2*k21^2*k34^2+k12*k23*k32^2*k21^2-4*k12^2*k32*k21^2*k34)*k32*k43^2*k21
4,2,"3,4",4,4,False,False,7/8,0
4,3,"1,2,3",1,1,False,True,7/9,0
4,3,"1,2,3",1,2,False,False,7/9,0
4,3,"1,2,3",1,3,False,False,6/9,0
4,3,"1,2,3",1,4,False,False,5/9,0
4,3,"1,2,3",2,2,False,True,7/9,0
4,3,"1,2,3",2,3,False,False,8/9,0
4,3,"1,2,3",2,4,False,False,7/9,0
4,3,"1,2,3",3,3,False,True,7/9,0
4,3,"1,2,3",3,4,False,False,7/9,0
4,3,"1,2,3",4,4,False,True,7/9,0
4,3,"1,2,4",1,1,False,True,7/9,0
4,3,"1,2,4",1,2,False,False,7/9,0
4,3,"1,2,4",1,3,False,False,6/9,0
4,3,"1,2,4",1,4,False,False,5/9,0
4,3,"1,2,4",2,2,False,True,7/9,0
4,3,"1,2,4",2,3,False,False,8/9,0
4,3,"1,2,4",2,4,False,False,7/9,0
4,3,"1,2,4",3,3,False,True,7/9,0
4,3,"1,2,4",3,4,False,False,8/9,0
4,3,"1,2,4",4,4,False,True,7/9,0
4,3,"1,3,4",1,1,False,True,7/9,0
4,3,"1,3,4",1,2,False,False,7/9,0
4,3,"1,3,4",1,3,False,False,6/9,0
4,3,"1,3,4",1,4,False,False,5/9,0
4,3,"1,3,4",2,2,False,True,7/9,0
4,3,"1,3,4",2,3,False,False,8/9,0
4,3,"1,3,4",2,4,False,False,7/9,0
4,3,"1,3,4",3,3,False,True,7/9,0
4,3,"1,3,4",3,4,False,False,8/9,0
4,3,"1,3,4",4,4,False,True,7/9,0
4,3,"2,3,4",1,1,False,True,7/9,0
4,3,"2,3,4",1,2,False,False,7/9,0
4,3,"2,3,4",1,3,False,False,6/9,0
4,3,"2,3,4",1,4,False,False,5/9,0
4,3,"2,3,4",2,2,False,True,7/9,0
4,3,"2,3,4",2,3,False,False,8/9,0
4,3,"2,3,4",2,4,False,False,7/9,0
4,3,"2,3,4",3,3,False,True,7/9,0
4,3,"2,3,4",3,4,False,False,8/9,0
4,3,"2,3,4",4,4,False,True,7/9,0
4,4,"1,2,3,4",1,1,False,False,7/10,0
4,4,"1,2,3,4",1,2,False,False,7/10,0
4,4,"1,2,3,4",1,3,False,False,6/10,0
4,4,"1,2,3,4",1,4,False,False,5/10,0
4,4,"1,2,3,4",2,2,False,False,7/10,0
4,4,"1,2,3,4",2,3,False,False,8/10,0
4,4,"1,2,3,4",2,4,False,False,7/10,0
4,4,"1,2,3,4",3,3,False,False,7/10,0
4,4,"1,2,3,4",3,4,False,False,8/10,0
4,4,"1,2,3,4",4,4,False,False,7/10,0
5,0,"",1,1,True,False,8/8,k12^2*k21^3
5,0,"",1,2,True,False,8/8,k21
